,Unnamed: 0,title,date,stock
2579,931632.0,[[0.9999997]],2013-12-18 16:38:00-05:00,NVDA
2578,931631.0,[[0.98211306]],2014-01-09 08:55:00-05:00,NVDA
2577,931630.0,[[0.9949438]],2014-01-09 14:05:00-05:00,NVDA
2576,931629.0,[[0.00027657]],2014-01-09 14:20:00-05:00,NVDA
6051,186841.0,[[0.00321982]],2014-01-10 16:25:00-05:00,BRK
5684,186474.0,[[0.00321982]],2014-01-10 16:25:00-05:00,BRK
2575,931628.0,[[0.9994129]],2014-01-13 08:33:00-05:00,NVDA
2574,931627.0,[[0.99999994]],2014-01-14 09:31:00-05:00,NVDA
5683,186473.0,[[0.9999989]],2014-01-16 15:43:00-05:00,BRK
2573,931626.0,[[0.9999941]],2014-01-21 06:28:00-05:00,NVDA
2572,931625.0,[[0.99090147]],2014-01-21 06:56:00-05:00,NVDA
2571,931624.0,[[0.36141273]],2014-01-21 07:59:00-05:00,NVDA
2570,931623.0,[[0.99893093]],2014-01-21 08:36:00-05:00,NVDA
2569,931622.0,[[0.9999801]],2014-02-03 08:17:00-05:00,NVDA
2568,931621.0,[[0.99941957]],2014-02-10 06:33:00-05:00,NVDA
2567,931620.0,[[0.96870124]],2014-02-12 05:20:00-05:00,NVDA
2566,931619.0,[[0.99955344]],2014-02-12 16:20:00-05:00,NVDA
2565,931618.0,[[0.9992572]],2014-02-12 16:21:00-05:00,NVDA
2564,931617.0,[[0.99998426]],2014-02-13 07:34:00-05:00,NVDA
2563,931616.0,[[0.999998]],2014-02-13 07:35:00-05:00,NVDA
2562,931615.0,[[0.99985063]],2014-02-13 07:59:00-05:00,NVDA
2561,931614.0,[[0.99893093]],2014-02-13 08:03:00-05:00,NVDA
2560,931613.0,[[0.9818324]],2014-02-13 08:11:00-05:00,NVDA
2559,931612.0,[[0.99975795]],2014-02-13 08:37:00-05:00,NVDA
2558,931611.0,[[0.00170456]],2014-02-13 10:04:00-05:00,NVDA
2557,931610.0,[[0.9999971]],2014-02-13 10:10:00-05:00,NVDA
2556,931609.0,[[0.99967897]],2014-02-13 10:37:00-05:00,NVDA
2555,931608.0,[[0.9999548]],2014-02-14 08:19:00-05:00,NVDA
6050,186840.0,[[0.9999999]],2014-02-20 17:18:00-05:00,BRK
6049,186839.0,[[0.9997792]],2014-02-21 06:42:00-05:00,BRK
2554,931607.0,[[0.00170456]],2014-02-21 09:59:00-05:00,NVDA
2553,931606.0,[[0.9990386]],2014-02-24 11:05:00-05:00,NVDA
5682,186472.0,[[0.1721246]],2014-03-03 08:53:00-05:00,BRK
2552,931605.0,[[0.99998426]],2014-03-19 06:47:00-04:00,NVDA
2551,931604.0,[[0.9996053]],2014-03-19 08:13:00-04:00,NVDA
2550,931603.0,[[0.9997504]],2014-03-19 18:03:00-04:00,NVDA
2549,931602.0,[[0.9999908]],2014-03-21 08:42:00-04:00,NVDA
2548,931601.0,[[0.9998526]],2014-03-21 16:38:00-04:00,NVDA
2547,931600.0,[[0.99999934]],2014-03-24 08:58:00-04:00,NVDA
2546,931599.0,[[0.2511273]],2014-03-24 14:28:00-04:00,NVDA
2545,931598.0,[[0.99999774]],2014-03-25 12:33:00-04:00,NVDA
2544,931597.0,[[1.]],2014-03-25 15:02:00-04:00,NVDA
2543,931596.0,[[0.9999941]],2014-04-01 07:41:00-04:00,NVDA
2542,931595.0,[[0.99893093]],2014-04-01 07:45:00-04:00,NVDA
2541,931594.0,[[0.9695058]],2014-04-01 09:43:00-04:00,NVDA
2540,931593.0,[[0.66084003]],2014-04-03 09:43:00-04:00,NVDA
